first_name,second_name,team_name,player_pos,minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,form,in_dreamteam,selected_by_percent,creativity,ict_index,influence,threat,status,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,news,news_added,current_cost,web_name,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,special,Mins_Per_90,Goals_Per_90,Assists_Per_90
Reiss,Nelson,Arsenal,Midfielder,458,0,4,1,2,0,0,0,0,1,0,1.7,0,19,60,['form'],FALSE,0.1,95.2,27.9,54.4,130,available,100,100,0,0,-0.2,0.2,0,0,0,0,N/A,2020-01-18T17:00:23.535651Z,5.3,Nelson,12026,0,18281,0,0,3.6,200641,489,FALSE,5.0889,0,0.1965
Joseph,Willock,Arsenal,Midfielder,573,0,11,0,1,0,0,0,0,1,0,1.2,0,23,95,['form'],FALSE,0.2,132.9,36.3,94.4,134,available,100,100,0,0,-0.3,0.3,0,0,0,0,N/A,2019-09-07T11:30:17.190466Z,4.7,Willock,25819,0,31471,0,0,4.9,200089,490,FALSE,6.3667,0,0
Gabriel Teodoro,Martinelli Silva,Arsenal,Striker,656,3,9,1,2,0,0,0,0,1,0,2.8,5,39,129,['form'],FALSE,2.8,36.6,42.5,162.8,226,available,100,100,0,0,-0.1,0.1,0,0,0,0,N/A,2019-12-23T12:00:20.317919Z,4.4,Martinelli,502501,0,404091,0,0,8.9,444145,504,FALSE,7.2889,0.4116,0.1372
Kieran,Tierney,Arsenal,Defender,296,0,6,0,0,0,0,0,0,1,0,1,0,5,51,['form'],FALSE,0.3,75.1,16.3,56,31,available,100,75,0,0,-0.2,0.2,0,0,0,0,N/A,2019-12-09T22:00:21.790216Z,5.3,Tierney,72106,0,109884,0,0,0.9,192895,515,FALSE,3.2889,0,0
Bukayo,Saka,Arsenal,Midfielder,1172,0,11,4,4,0,0,0,0,4,0,2.4,2,43,184,['form'],FALSE,5,211.9,58.9,225.2,151,available,100,100,0,0,0.2,-0.2,0,0,0,0,N/A,2020-02-02T17:00:24.409161Z,4.7,Saka,522161,0,154573,0,0,9.1,223340,541,FALSE,13.0222,0,0.3072
Emile,Smith Rowe,Arsenal,Midfielder,96,0,0,0,1,0,0,0,0,0,0,2,0,4,13,['form'],FALSE,0,6.3,1.6,9.8,0,not available,0,0,0,0,-0.2,0.2,0,0,0,0,Joined Huddersfield Town on loan until the end of the season on 10/1. - Expected back 01 Jul,2020-01-10T20:00:21.634861Z,4.3,Smith Rowe,5549,0,3200,0,0,0.9,209289,576,FALSE,1.0667,0,0
Tyreece,John-Jules,Arsenal,Striker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['form'],FALSE,0,0,0,0,0,not available,0,0,0,0,-0.1,0.1,0,0,0,0,Joined Lincoln City on loan until the end of the season on 10/1. - Expected back 01 Jul,2020-01-16T10:30:19.626655Z,4.4,John-Jules,610,0,517,0,0,0,232233,585,FALSE,0,0,0
Pablo,Mari,Arsenal,Defender,90,0,0,0,1,0,0,0,0,0,0,7,1,7,28,['form'],FALSE,0.1,1.6,2.8,26.2,0,available,100,100,0,0,-0.2,0.2,0,0,0,0,N/A,2020-02-14T10:30:20.035710Z,4.8,Mari,7267,0,3105,0,0,1.5,92371,617,FALSE,1,0,0
Ahmed,El Mohamady,Aston Villa,Defender,763,0,26,1,1,0,0,0,0,0,0,1.7,5,20,158,['form'],FALSE,0.8,219.6,44.1,174.4,46,available,0,0,0,0,-0.4,0.4,0,0,0,0,N/A,N/A,4.1,El Mohamady,72425,0,152316,0,0,4.9,37339,22,FALSE,8.4778,0,0.118
James,Chester,Aston Villa,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['form'],FALSE,0.1,0,0,0,0,not available,0,0,0,0,-0.3,0.3,0,0,0,0,Joined Stoke City on loan until the end of the season on 31/1. - Expected back 01 Jul,2020-01-31T15:00:12.372885Z,4.2,Chester,1899,0,8061,0,0,0,43252,23,FALSE,0,0,0
