minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,selected_by_percent,creativity,ict_index,influence,threat,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,current_cost,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,Mins_Per_90,Goals_Per_90,Assists_Per_90
16,0,2,0,0,0,0,0,0,0,0,1,0,2,5,0,1.7,0.4,0.2,2,0,0,0,0,0,0,0,0,0,0,5.5,426,0,196,0,0,0.4,83091,623,0.1778,0,0
1848,1,36,0,3,0,0,0,0,4,1,2.1,5,46,311,0.2,38.3,63.2,479.2,112,100,75,0,0,0,0,2,0,0,0,5,41020,0,48041,0,0,9.2,56917,58,20.5333,0.0487,0
2014,2,33,1,3,0,0,0,0,1,0,2.9,6,67,403,6.5,78.6,93.3,558.4,296,100,100,0,0,-0.2,0.2,1,0,0,0,4.8,566855,0,1307751,0,0,14,126184,59,22.3778,0.0894,0.0447
126,0,2,0,0,0,0,0,0,0,0,1.5,0,3,18,0.1,29.6,5.2,22.4,0,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,3309,0,17178,0,0,0.7,41320,60,1.4,0,0
901,1,19,0,1,0,0,0,0,1,0,2.4,2,26,161,0.6,16.5,42.2,268.6,136,100,75,0,0,-0.2,0.2,1,0,0,0,4.3,94670,0,122273,0,0,6,223911,61,10.0111,0.0999,0
964,0,21,0,1,0,0,0,0,3,1,1.1,1,16,161,0,64.4,40.2,263.8,72,100,100,0,0,-0.1,0.1,0,0,0,0,4.4,4808,0,4221,0,0,3.6,15149,62,10.7111,0,0
1557,0,27,1,3,0,0,0,0,6,0,2.2,3,39,231,0.4,141.5,47.3,238.8,93,100,100,0,0,-0.2,0.2,1,0,0,0,4.3,62107,0,135438,0,0,9.1,54469,63,17.3,0,0.0578
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,75,0,0,-0.1,0.1,0,0,0,0,4.4,4973,0,9229,0,0,0,235530,64,0,0,0
1793,0,27,3,5,0,0,0,0,6,0,2.9,5,61,335,9.3,402.8,91.1,431.4,73,100,100,0,0,0.2,-0.2,1,0,0,0,4.2,1340333,0,1079301,0,0,14.5,171129,65,19.9222,0,0.1506
238,0,6,0,0,0,0,0,0,0,0,1,0,4,33,6.8,12.7,6.4,33.6,18,0,0,0,0,-0.1,0.1,0,0,0,0,3.9,404973,0,470180,0,0,1,222434,66,2.6444,0,0
2346,8,46,3,3,0,0,0,0,8,0,3.4,8,95,292,4.8,343.3,139.6,376.8,683,100,100,0,0,-0.6,0.6,1,0,0,0,7.4,886275,0,1729632,0,0,12.8,75115,67,26.0667,0.3069,0.1151
1461,4,22,3,3,0,0,0,0,0,0,3.6,8,69,227,3.3,308.8,102.2,318.2,394,100,100,0,0,-0.4,0.4,1,0,0,0,6.1,629776,0,1672761,0,0,11.3,78007,68,16.2333,0.2464,0.1848
1176,0,25,2,1,0,0,0,0,1,0,1.7,0,41,77,0.3,161.2,66,109.4,389,100,100,0,0,-0.4,0.4,0,0,0,0,5.1,32021,0,51740,0,0,8,154566,69,13.0667,0,0.1531
15,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0.6,0.3,0.3,0.2,2,100,100,0,0,-0.2,0.2,0,0,0,0,4.3,61205,0,87209,0,0,0.2,217331,71,0.1667,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,12454,0,155726,0,0,0,40349,72,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,7753,0,20957,0,0,0,18726,73,0,0,0
90,0,3,0,0,0,0,2,0,0,0,1,0,1,9,0.2,0,1.5,15.2,0,0,0,0,0,-0.3,0.3,0,0,0,0,4.2,5296,0,13793,0,0,0.2,229600,74,1,0,0
2061,1,34,5,4,0,0,0,0,2,0,2.6,2,73,305,2.6,627.1,141.9,355.6,440,100,100,0,0,-0.7,0.7,0,0,0,0,6.8,150430,0,1130173,0,0,10.7,90105,75,22.9,0.0437,0.2183
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,100,75,0,0,-0.3,0.3,0,0,0,0,6.2,879,0,18848,0,0,0,111317,76,0,0,0
